	TCGA_3L_AA1B	TCGA_4N_A93T	TCGA_4T_AA8H	TCGA_5M_AAT4	TCGA_5M_AAT5	TCGA_5M_AAT6	TCGA_5M_AATA	TCGA_5M_AATE	TCGA_A6_2675	TCGA_A6_2682	TCGA_A6_2684	TCGA_A6_2685	TCGA_A6_2686	TCGA_A6_4105	TCGA_A6_5656	TCGA_A6_5657	TCGA_A6_5659	TCGA_A6_5660	TCGA_A6_5661	TCGA_A6_5662	TCGA_A6_5664	TCGA_A6_5665	TCGA_A6_5666	TCGA_A6_5667	TCGA_A6_6137	TCGA_A6_6138	TCGA_A6_6140	TCGA_A6_6141	TCGA_A6_6142	TCGA_A6_6648	TCGA_A6_6649	TCGA_A6_6650	TCGA_A6_6651	TCGA_A6_6652	TCGA_A6_6653	TCGA_A6_6654	TCGA_A6_6780	TCGA_A6_6781	TCGA_A6_6782	TCGA_A6_A565	TCGA_A6_A566	TCGA_A6_A567	TCGA_A6_A56B	TCGA_A6_A5ZU	TCGA_AA_3489	TCGA_AA_3492	TCGA_AA_3495	TCGA_AA_3496	TCGA_AA_3502	TCGA_AA_3506	TCGA_AA_3509	TCGA_AA_3511	TCGA_AA_3526	TCGA_AA_3655	TCGA_AA_3660	TCGA_AA_3662	TCGA_AA_3663	TCGA_AA_3675	TCGA_AA_3685	TCGA_AA_3697	TCGA_AA_3712	TCGA_AA_3713	TCGA_AA_A01P	TCGA_AA_A01X	TCGA_AA_A01Z	TCGA_AA_A02K	TCGA_AA_A02Y	TCGA_AD_5900	TCGA_AD_6548	TCGA_AD_6888	TCGA_AD_6889	TCGA_AD_6890	TCGA_AD_6895	TCGA_AD_6899	TCGA_AD_6901	TCGA_AD_6963	TCGA_AD_6964	TCGA_AD_6965	TCGA_AD_A5EJ	TCGA_AD_A5EK	TCGA_AM_5820	TCGA_AM_5821	TCGA_AU_3779	TCGA_AU_6004	TCGA_AY_5543	TCGA_AY_6196	TCGA_AY_6197	TCGA_AY_6386	TCGA_AY_A54L	TCGA_AY_A69D	TCGA_AY_A71X	TCGA_AY_A8YK	TCGA_AZ_4313	TCGA_AZ_4315	TCGA_AZ_4323	TCGA_AZ_4614	TCGA_AZ_4615	TCGA_AZ_4616	TCGA_AZ_4682	TCGA_AZ_4684	TCGA_AZ_5403	TCGA_AZ_5407	TCGA_AZ_6598	TCGA_AZ_6599	TCGA_AZ_6600	TCGA_AZ_6601	TCGA_AZ_6603	TCGA_AZ_6605	TCGA_AZ_6606	TCGA_AZ_6607	TCGA_AZ_6608	TCGA_CA_5254	TCGA_CA_5255	TCGA_CA_5256	TCGA_CA_5796	TCGA_CA_5797	TCGA_CA_6715	TCGA_CA_6716	TCGA_CA_6717	TCGA_CA_6718	TCGA_CA_6719	TCGA_CK_4947	TCGA_CK_4948	TCGA_CK_4950	TCGA_CK_4951	TCGA_CK_4952	TCGA_CK_5912	TCGA_CK_5913	TCGA_CK_5914	TCGA_CK_5915	TCGA_CK_5916	TCGA_CK_6746	TCGA_CK_6747	TCGA_CK_6748	TCGA_CK_6751	TCGA_CM_4743	TCGA_CM_4744	TCGA_CM_4747	TCGA_CM_4751	TCGA_CM_5344	TCGA_CM_5348	TCGA_CM_5349	TCGA_CM_5860	TCGA_CM_5861	TCGA_CM_5862	TCGA_CM_5863	TCGA_CM_5864	TCGA_CM_5868	TCGA_CM_6161	TCGA_CM_6162	TCGA_CM_6163	TCGA_CM_6164	TCGA_CM_6165	TCGA_CM_6166	TCGA_CM_6167	TCGA_CM_6168	TCGA_CM_6169	TCGA_CM_6170	TCGA_CM_6171	TCGA_CM_6172	TCGA_CM_6674	TCGA_CM_6675	TCGA_CM_6676	TCGA_CM_6677	TCGA_CM_6678	TCGA_CM_6679	TCGA_CM_6680	TCGA_D5_5537	TCGA_D5_5538	TCGA_D5_5539	TCGA_D5_5540	TCGA_D5_5541	TCGA_D5_6529	TCGA_D5_6530	TCGA_D5_6531	TCGA_D5_6532	TCGA_D5_6533	TCGA_D5_6534	TCGA_D5_6535	TCGA_D5_6536	TCGA_D5_6537	TCGA_D5_6538	TCGA_D5_6539	TCGA_D5_6540	TCGA_D5_6541	TCGA_D5_6898	TCGA_D5_6920	TCGA_D5_6922	TCGA_D5_6923	TCGA_D5_6924	TCGA_D5_6926	TCGA_D5_6927	TCGA_D5_6928	TCGA_D5_6929	TCGA_D5_6930	TCGA_D5_6931	TCGA_D5_6932	TCGA_D5_7000	TCGA_DM_A0X9	TCGA_DM_A0XD	TCGA_DM_A0XF	TCGA_DM_A1D0	TCGA_DM_A1D4	TCGA_DM_A1D6	TCGA_DM_A1D7	TCGA_DM_A1D8	TCGA_DM_A1D9	TCGA_DM_A1DA	TCGA_DM_A1DB	TCGA_DM_A1HA	TCGA_DM_A1HB	TCGA_DM_A280	TCGA_DM_A282	TCGA_DM_A285	TCGA_DM_A288	TCGA_DM_A28A	TCGA_DM_A28C	TCGA_DM_A28E	TCGA_DM_A28F	TCGA_DM_A28G	TCGA_DM_A28H	TCGA_DM_A28K	TCGA_DM_A28M	TCGA_F4_6459	TCGA_F4_6460	TCGA_F4_6461	TCGA_F4_6463	TCGA_F4_6569	TCGA_F4_6570	TCGA_F4_6703	TCGA_F4_6704	TCGA_F4_6805	TCGA_F4_6806	TCGA_F4_6807	TCGA_F4_6808	TCGA_F4_6809	TCGA_F4_6854	TCGA_F4_6855	TCGA_F4_6856	TCGA_G4_6293	TCGA_G4_6294	TCGA_G4_6295	TCGA_G4_6297	TCGA_G4_6298	TCGA_G4_6299	TCGA_G4_6302	TCGA_G4_6303	TCGA_G4_6304	TCGA_G4_6306	TCGA_G4_6307	TCGA_G4_6309	TCGA_G4_6310	TCGA_G4_6311	TCGA_G4_6314	TCGA_G4_6315	TCGA_G4_6317	TCGA_G4_6320	TCGA_G4_6321	TCGA_G4_6322	TCGA_G4_6323	TCGA_G4_6586	TCGA_G4_6588	TCGA_G4_6625	TCGA_G4_6626	TCGA_G4_6627	TCGA_G4_6628	TCGA_NH_A50T	TCGA_NH_A50U	TCGA_NH_A50V	TCGA_NH_A5IV	TCGA_NH_A6GA	TCGA_NH_A6GB	TCGA_NH_A6GC	TCGA_NH_A8F7	TCGA_NH_A8F8	TCGA_QG_A5YV	TCGA_QG_A5YW	TCGA_QG_A5YX	TCGA_QG_A5Z1	TCGA_QG_A5Z2	TCGA_QL_A97D	TCGA_RU_A8FL	TCGA_SS_A7HO	TCGA_T9_A92H	TCGA_WS_AB45
group	1	1	1	1	1	2	1	1	2	1	2	2	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	1	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	2	2	1	2	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	2	2	2	2	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	2	2	2	2	2	1	1	2	1	2	1	2	1	2	2	1	2	2	2	2	1	1	2	1	2	1	1	2	1	1	2	2	1	1	2	1	2	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	2	1	1	1	2	1	2	2	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2
MMP7	2.88560931067577	1.97847212676681	2.58280374865582	3.45616103286402	2.91988332545121	3.72692481344894	3.67107865829239	2.93076106381858	3.83826487356775	2.77693720788128	3.61173092560559	3.72452438034533	2.65847203976803	3.43392606176733	2.42743470290675	3.80586337703824	2.17871503216505	3.46421514014318	3.09051777848025	1.89622227541852	3.88453966188556	2.56397832370668	3.06828838983539	3.56508485462837	2.82372619082592	2.99954553725266	1.73651633196953	3.1650198458087	2.50107091082167	2.04102867805183	2.11507339227919	2.15006889539674	3.38447182062203	1.81460210906904	2.45042211834654	3.16345980793648	2.27433623883785	2.08903336878987	2.56319419816994	2.06810761033872	2.75636300480617	2.11139904666785	3.10429383083491	2.21837956386142	2.68500226422639	1.84959554483621	3.48541506431051	2.59013938647381	3.10731362760153	3.1706590231581	2.28556213340322	2.0050999950614	4.15408846636357	2.64036148283438	3.68572452425959	2.29452038702152	2.51310831049152	3.61209931117497	3.05201662637982	2.65822826967648	1.82721488275149	1.59960522700529	3.55811613042489	2.99259521072966	3.03304637194598	0.5624041270453	3.39178815275473	2.71548503284668	2.09829997349146	3.94162286872047	2.83969427304621	2.28565587242397	3.14989767178873	3.28895995226012	3.48720390236818	3.30449915743531	2.60728440747579	2.09673883957431	3.44904604725949	3.41201976941168	3.04641648176392	3.37745458580157	2.18391440434059	3.4134554859605	2.89653067988045	2.83146048244055	1.77920024948125	2.69451649262232	2.7271986818896	2.58115832110158	3.09695277898263	2.44228057030502	2.89245336103487	3.92724292588994	1.55524235680871	3.52036520672471	2.79980497446904	4.21833400074521	3.19376597578853	3.48330528394998	3.54922426908723	3.75131442558585	2.69068765431128	2.81073908502402	3.11532726863794	2.60258498247417	2.48528034760864	3.45036218264116	2.31733546226898	4.04352883967676	2.87725483559184	4.26696266611794	3.70494420271492	2.80842421860867	3.11131979969173	2.89025821080237	3.02102568294947	3.29361603024891	2.83423075790016	3.85403502602562	3.23432382927751	2.89434894922965	3.73295743699587	2.85787206069527	3.45083354470943	2.51672672211954	1.82559633822392	2.97527690403437	2.56829190757195	2.82719812920183	3.05633434513353	1.69567928945434	2.30884128574119	2.96457306246283	2.29126425698798	2.93670335695724	2.78716887360744	2.8559573150645	3.67188249122748	2.69906896727294	3.60900462636745	3.69971715886583	3.56555898877465	2.90772944039861	2.13452050480556	3.36766554458704	2.44324523601406	3.42195056084737	2.96985358275446	2.90572324937995	2.02944958746785	3.24869281531557	2.92353066258887	3.40488042139234	2.76987250003121	2.95407833240336	2.41540943677447	2.60998340013207	1.45736736825858	2.09673883957431	3.3054608294763	4.15206309788923	2.314037707406	2.85734149235454	2.54367321595996	2.8831948911355	3.65431561814044	3.19058768840062	2.83658667326266	2.82691629105361	1.85012328118584	3.42112384271914	3.93299462749224	2.42858364354343	2.68579658167702	2.43195133604679	3.47350796218804	3.1682152476451	2.96841984286498	2.07538357162364	3.80711599873279	1.5302470740942	2.47249334897041	2.8799775767576	3.57825374861557	2.70229764169441	2.57434807865945	2.11485395207575	3.40608678812221	3.03023385456232	2.8191687303068	2.83942105062058	1.80928694512655	3.74443862812472	3.47496819575378	3.62219398290047	2.62402943773445	2.7871132750787	2.95064362701418	4.11518555226093	3.37189925244003	2.58681272796621	2.44306002021029	2.98904478728863	3.51121227590102	2.83892014072812	3.78920867193041	1.4362522093035	1.55902010412873	1.70391438573169	2.91546525218098	3.31503170442016	3.30040295874339	2.66070852111219	2.62186020140824	3.47652295909646	2.12149380391923	0.551222114346959	2.11441068636629	3.17966819547217	0.460745161306909	1.31131045291908	3.19583839529794	1.56639165779938	1.20111959979657	3.63766536532628	2.7748906805618	3.28337081615959	1.58198090627139	3.44390768173859	2.43913123161738	4.16459881525842	3.62291777708056	3.39860457717267	3.0118118947113	3.10309374846976	2.51672672211954	3.5673787018407	2.31198100317592	2.83875535168297	1.68043663570471	1.5435435764322	2.23147545151824	2.75910350181462	2.95195015163081	2.88627304687388	2.68579658167702	2.01022435558356	1.08616052422908	2.95124096072586	1.83375465262986	1.61906390306465	2.94754466689459	2.68500226422639	1.73859972472919	3.41201976941168	2.36349156860794	2.4560862470985	3.51060093498585	4.06188023192737	2.9443864925966	1.86492274207481	2.40819768695591	3.34483506540291	3.97647714762369	2.67534217371164	2.23529717220228	3.36616424042651	3.44263003219642	1.72335458876349	3.34430811409843	2.95677364145878	2.67003805808814	1.78666080337107	2.85765956081095	2.6138869354323	2.81710181577021	2.45021458191188	3.04776170979408	2.42873993593484	1.88486142356686	0.776560464201735	1.29331083945549	3.1684088570788	0
